Country,Continent,Region,Landlocked,Is_island,Which_ocean,Number_of_land_borders,Largest_biome,Has_desert,Has_rainforest,Has_mountains,Average_altitude_band,Volcanic_activity,Climate_zone,Average_temperature_band,Has_tropical_region,Has_arctic_region,Monsoon_season,Average_rainfall_band,Population_band,Population_density_band,Official_language_family,Number_of_official_languages,Dominant_religion,Urbanisation_rate_band,Median_age_band,Gdp_per_capita_band,Primary_industry,Major_export_category,Currency_type,Government_type,Un_member,Nato_member,Commonwealth_member,Eu_member,Gained_independence_after_1900,Drives_on_left,Metric_system,Colonial_history
Afghanistan,Asia,Southern Asia,Yes,No,None,6,desert,Yes,No,Yes,High (1000-2000m),No,Arid,Cold (0-10 C),No,No,Yes,Arid (< 250 mm),Large (50M-200M),Sparse (25-100),Indo-European,2,Islam,Rural-leaning (30-50%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,transitional/provisional government,Yes,No,No,No,Yes,No,Yes,Yes
Albania,Europe,Southern Europe,No,No,Atlantic,4,mediterranean shrubland,No,No,Yes,Moderate (500-1000m),No,Mediterranean,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Islam,Mixed (50-70%),Older (35-42),"Upper-middle ($4,000-$15,000)",services,textiles,own free-floating currency,parliamentary republic,Yes,Yes,No,No,Yes,No,Yes,No
Algeria,Africa,Northern Africa,No,No,Atlantic,7,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Very sparse (< 25),Afro-Asiatic,2,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Andorra,Europe,Southern Europe,Yes,No,None,2,mountain/alpine,No,No,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",tourism,services,Euro,parliamentary republic,Yes,No,No,No,No,No,Yes,No
Angola,Africa,Middle Africa,No,No,Atlantic,4,savanna,Yes,Yes,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Very young (< 20),"Lower-middle ($1,000-$4,000)",oil & gas,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Antigua and Barbuda,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Moderate (500-1000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"High ($15,000-$40,000)",tourism,services,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Argentina,South America,South America,No,No,Atlantic,5,grassland,Yes,Yes,Yes,Low-to-moderate (200-500m),Yes,Temperate,Mild (10-20 C),Yes,No,No,Moderate (500-1000 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,0,Christianity,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Armenia,Asia,Western Asia,Yes,No,None,4,mountain/alpine,No,No,Yes,High (1000-2000m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,minerals,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Australia,Oceania,Australia and New Zealand,No,Yes,Pacific,0,desert,Yes,Yes,Yes,Low-to-moderate (200-500m),No,Arid,Warm (20-25 C),Yes,No,Yes,Semi-arid (250-500 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,0,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",services,minerals,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Austria,Europe,Western Europe,Yes,No,None,8,temperate forest,No,No,Yes,High (1000-2000m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,No,No,Yes,Yes,No,Yes,No
Azerbaijan,Asia,Western Asia,No,No,Atlantic,5,desert,Yes,No,Yes,Moderate (500-1000m),Yes,Arid,Warm (20-25 C),No,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Moderate (100-300),Turkic,1,Islam,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Bahamas,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",tourism,services,pegged to USD,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Bahrain,Asia,Western Asia,No,Yes,Indian,0,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very dense (> 1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Bangladesh,Asia,Southern Asia,No,No,Indian,2,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Very dense (> 1000),Indo-European,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Barbados,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Dense (300-1000),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",tourism,services,pegged to USD,parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Belarus,Europe,Eastern Europe,Yes,No,None,5,temperate forest,No,No,No,Low-to-moderate (200-500m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,2,Christianity,Urban-leaning (70-85%),Aged (> 42),"Upper-middle ($4,000-$15,000)",manufacturing,machinery,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,No
Belgium,Europe,Western Europe,No,No,Atlantic,4,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Dense (300-1000),Indo-European,3,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,Yes
Belize,North America,Central America,No,No,Atlantic,2,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Rural-leaning (30-50%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,agricultural products,pegged to USD,constitutional monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Benin,Africa,Western Africa,No,No,Atlantic,4,savanna,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Christianity,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Bhutan,Asia,Southern Asia,Yes,No,None,2,mountain/alpine,No,Yes,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),No,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Sino-Tibetan,1,Buddhism,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Bolivia,South America,South America,Yes,No,None,5,tropical rainforest,Yes,Yes,Yes,High (1000-2000m),Yes,Highland,Mild (10-20 C),Yes,No,No,Moderate (500-1000 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,37,Christianity,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",mining/extractives,oil & gas,own pegged currency (other),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Bosnia and Herzegovina,Europe,Southern Europe,No,No,Atlantic,3,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,3,Islam,Rural-leaning (30-50%),Aged (> 42),"Upper-middle ($4,000-$15,000)",services,machinery,own pegged currency (other),parliamentary republic,Yes,No,No,No,Yes,No,Yes,No
Botswana,Africa,Southern Africa,Yes,No,None,4,desert,Yes,No,No,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very sparse (< 25),Niger-Congo,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Brazil,South America,South America,No,No,Atlantic,10,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Large (50M-200M),Sparse (25-100),Indo-European,1,Christianity,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Brunei,Asia,Southeast Asia,No,No,Pacific,1,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Austronesian,1,Islam,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Bulgaria,Europe,Eastern Europe,No,No,Atlantic,5,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,own pegged currency (other),parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Burkina Faso,Africa,Western Africa,Yes,No,None,6,savanna,No,No,No,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Semi-arid (250-500 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
